Data set,Ligand InChI,LogBIO,PubChem SID,BS+AICc,BS+r2a,FS+AIC,FS+BIC,FS+r2a,FS+RIC1,FS+RIC2,FS+RIC3,FS+RIC4
Training set,"InChI=1S/C20H21N3O2S/c1-4-14(2)23-13-19(16-7-5-15(12-21)6-8-16)18-10-9-17(11-20(18)23)22-26(3,24)25/h5-11,13-14,22H,4H2,1-3H3/t14-/m1/s1",9.078834,125087031,9.173,9.385,9.072,8.627,9.276,9.072,9.072,9.072,9.072
Training set,"InChI=1S/C20H19BrN2O2S/c1-20(2,18(25)23-19-22-10-11-26-19)17(13-6-4-3-5-7-13)14-8-9-16(24)15(21)12-14/h3-12,17,24H,1-2H3,(H,22,23,25)/t17-/m0/s1",7.508638,136355093,7.026,6.807,7.069,7.151,7.301,7.069,7.069,7.069,7.069
Training set,"InChI=1S/C21H24N2O3/c24-21(17-9-5-2-6-10-17)15-20(16-7-3-1-4-8-16)22-18-11-13-19(14-12-18)23(25)26/h2,5-6,9-14,16,20,22H,1,3-4,7-8,15H2",7.886057,104142741,7.894,7.67,7.92,7.622,7.76,7.92,7.92,7.92,7.92
Training set,"InChI=1S/C20H20F2N2O/c1-10-15-14(24-20(2,3)19(10)25)9-13(21)16(17(15)22)12-6-4-5-11-7-8-23-18(11)12/h4-10,19,23-25H,1-3H3/t10-,19+/m0/s1",5.678816,125088426,5.701,5.598,5.579,6.11,5.703,5.579,5.579,5.579,5.579
Training set,"InChI=1S/C9H10N2O2S/c1-14(12,13)11-8-4-2-3-7-5-6-10-9(7)8/h2-6,10-11H,1H3",6.982967,319493269,7.086,7.174,7.156,6.731,7.151,7.156,7.156,7.156,7.156
Training set,"InChI=1S/C17H15BrN2S/c1-10-8-17(2,3)20-14-5-4-11(6-12(10)14)15-7-13(18)16(9-19)21-15/h4-8,20H,1-3H3",6.603801,103985757,7.449,6.841,7.067,7.629,6.806,7.067,7.067,7.067,7.067
Training set,"InChI=1S/C18H18N2/c1-11-10-18(2,3)20-17-9-16-14(8-13(11)17)12-6-4-5-7-15(12)19-16/h4-10,19-20H,1-3H3",6.946922,103965711,6.323,6.45,6.3,7.004,6.312,6.3,6.3,6.3,6.3
Training set,"InChI=1S/C26H24ClNO2/c1-15-14-26(2,3)28-21-11-10-19-20-13-17(27)7-12-22(20)30-25(24(19)23(15)21)16-5-8-18(29-4)9-6-16/h5-14,25,28H,1-4H3",9.031517,103957960,8.654,8.58,8.472,8.048,8.349,8.472,8.472,8.472,8.472
Training set,"InChI=1S/C29H35NO2/c1-5-15-29(32)16-14-26-24-12-8-20-17-22(31)11-13-23(20)27(24)25(18-28(26,29)2)19-6-9-21(10-7-19)30(3)4/h6-7,9-10,17,24-26,32H,8,11-14,16,18H2,1-4H3/t24-,25+,26-,28-,29-/m0/s1",9.236572,46518693,8.777,8.917,8.879,8.864,8.897,8.879,8.879,8.879,8.879
Training set,"InChI=1S/C20H21NO/c1-12-11-20(3,4)21-16-10-9-15-14-7-5-6-8-17(14)22-13(2)19(15)18(12)16/h5-11,13,21H,1-4H3",8.481486,103966331,7.606,8.154,7.96,7.551,8.101,7.96,7.96,7.96,7.96
Training set,"InChI=1S/C25H22FNO/c1-15-14-25(2,3)27-20-12-11-19-18-9-4-5-10-21(18)28-24(23(19)22(15)20)16-7-6-8-17(26)13-16/h4-14,24,27H,1-3H3",9.161151,103957942,8.716,8.792,8.757,8.161,8.626,8.757,8.757,8.757,8.757
Training set,"InChI=1S/C26H22FNO/c1-16-15-26(2,3)28-21-13-12-19-18-9-5-7-11-22(18)29-23(25(19)24(16)21)14-17-8-4-6-10-20(17)27/h4-15,28H,1-3H3/b23-14-",8.251812,103962127,8.533,8.76,8.503,8.296,8.689,8.503,8.503,8.503,8.503
Training set,"InChI=1S/C15H12F6N2O2/c1-7-5-25-12-4-10-8(2-11(12)23(7)6-14(16,17)18)9(15(19,20)21)3-13(24)22-10/h2-4,7H,5-6H2,1H3,(H,22,24)",5.552842,46518319,5.208,5.708,5.579,5.867,5.824,5.579,5.579,5.579,5.579
Training set,"InChI=1S/C21H19N3OS/c1-20-11-21(2,18(25)23-19-24-22-12-26-19)17(13-7-3-5-9-15(13)20)14-8-4-6-10-16(14)20/h3-10,12,17H,11H2,1-2H3,(H,23,24,25)",7.455932,104103560,6.898,7.42,7.204,6.691,7.175,7.204,7.204,7.204,7.204
Training set,"InChI=1S/C26H23F2NO/c1-14-11-16(5-8-20(14)28)25-24-18(19-12-17(27)6-10-22(19)30-25)7-9-21-23(24)15(2)13-26(3,4)29-21/h5-13,25,29H,1-4H3",8.886057,103957963,8.771,8.863,8.969,8.8,8.793,8.969,8.969,8.969,8.969
Training set,"InChI=1S/C23H25NO4/c1-6-27-22(25)21-20-14(19-16(26-5)8-7-9-17(19)28-21)10-11-15-18(20)13(2)12-23(3,4)24-15/h7-12,21,24H,6H2,1-5H3",6.015023,104002712,6.647,6.688,6.599,6.367,6.527,6.599,6.599,6.599,6.599
Training set,"InChI=1S/C23H19F3N2O4/c1-32-20-12-4-16(5-13-20)22(29)14-21(15-2-6-17(7-3-15)23(24,25)26)27-18-8-10-19(11-9-18)28(30)31/h2-13,21,27H,14H2,1H3",7.744727,104142709,6.641,7.325,6.917,6.778,7.207,6.917,6.917,6.917,6.917
Training set,"InChI=1S/C22H25NO2/c1-5-12-24-21-20-16(15-8-6-7-9-18(15)25-21)10-11-17-19(20)14(2)13-22(3,4)23-17/h6-11,13,21,23H,5,12H2,1-4H3",7.19382,103966310,7.902,7.947,7.604,7.956,7.691,7.604,7.604,7.604,7.604
Training set,"InChI=1S/C16H15ClN2O/c1-10(2)19-15-9-12(6-7-14(15)18-16(19)20)11-4-3-5-13(17)8-11/h3-10H,1-2H3,(H,18,20)",6.279841,104001282,6.753,6.661,6.84,7.718,6.535,6.84,6.84,6.84,6.84
Training set,"InChI=1S/C21H23ClN2O/c1-11-15-10-16(14-7-5-6-13-8-9-23-19(13)14)17(22)12(2)18(15)24-21(3,4)20(11)25/h5-11,20,23-25H,1-4H3/t11-,20+/m0/s1",6.721246,125088427,6.178,6.13,6.365,6.509,6.155,6.365,6.365,6.365,6.365
