ID,Dataset,Ligand InChI,LogBIO,PubChem SID,BS+AICc,BS+r2a,FS+AIC,FS+BIC,FS+r2a,FS+RIC1,FS+RIC2,FS+RIC3,FS+RIC4
52,Training,"InChI=1S/C14H15N7O/c1-2-3-6-20-8-9-11(18-20)17-14(15)21-13(9)16-12(19-21)10-5-4-7-22-10/h4-5,7-8H,2-3,6H2,1H3,(H2,15,17,18)",3.220 ,103948240,3.220 ,3.294 ,3.221 ,3.532 ,3.285 ,3.274 ,3.274 ,3.274 ,3.274 
53,Training,"InChI=1S/C20H17ClN8O2/c1-2-8-28-11-14-16(26-28)24-19(25-20(30)22-13-6-3-5-12(21)10-13)29-18(14)23-17(27-29)15-7-4-9-31-15/h3-7,9-11H,2,8H2,1H3,(H2,22,24,25,26,30)",5.800 ,136351719,5.800 ,6.019 ,6.088 ,6.067 ,6.080 ,6.127 ,6.127 ,6.127 ,6.127 
54,Training,"InChI=1S/C11H9N7O/c1-17-5-6-8(15-17)14-11(12)18-10(6)13-9(16-18)7-3-2-4-19-7/h2-5H,1H3,(H2,12,14,15)",3.520 ,103992577,3.520 ,3.508 ,3.529 ,3.311 ,3.557 ,3.580 ,3.580 ,3.580 ,3.580 
55,Training,"InChI=1S/C21H20N8O3/c1-3-10-28-12-15-17(26-28)24-20(25-21(30)22-13-6-8-14(31-2)9-7-13)29-19(15)23-18(27-29)16-5-4-11-32-16/h4-9,11-12H,3,10H2,1-2H3,(H2,22,24,25,26,30)",6.220 ,136351718,6.220 ,6.191 ,6.237 ,6.198 ,6.226 ,6.112 ,6.112 ,6.112 ,6.112 
56,Training,"InChI=1S/C21H19ClN8O2/c1-2-3-10-29-12-15-17(27-29)25-20(26-21(31)23-14-8-6-13(22)7-9-14)30-19(15)24-18(28-30)16-5-4-11-32-16/h4-9,11-12H,2-3,10H2,1H3,(H2,23,25,26,27,31)",6.370 ,104004389,6.370 ,6.283 ,6.278 ,6.008 ,6.270 ,6.123 ,6.123 ,6.123 ,6.123 
57,Training,"InChI=1S/C21H20N8O2/c22-10-8-17(30)23-21-25-18-15(13-28(26-18)11-9-14-5-2-1-3-6-14)20-24-19(27-29(20)21)16-7-4-12-31-16/h1-7,12-13H,8-11,22H2,(H,23,25,26,30)/p+1",4.097 ,104045434,4.097 ,4.104 ,4.097 ,3.039 ,4.097 ,4.100 ,4.100 ,4.100 ,4.100 
58,Training,"InChI=1S/C17H19N7O/c18-17-20-14-12(10-23(21-14)9-11-5-2-1-3-6-11)16-19-15(22-24(16)17)13-7-4-8-25-13/h4,7-8,10-11H,1-3,5-6,9H2,(H2,18,20,21)",2.760 ,104045449,2.760 ,2.777 ,2.722 ,3.119 ,2.719 ,2.632 ,2.632 ,2.632 ,2.632 
59,Training,"InChI=1S/C20H18N8O2/c21-11-16(29)22-20-24-17-14(12-27(25-17)9-8-13-5-2-1-3-6-13)19-23-18(26-28(19)20)15-7-4-10-30-15/h1-7,10,12H,8-9,11,21H2,(H,22,24,25,29)/p+1",3.788 ,104045454,3.788 ,3.781 ,3.788 ,4.232 ,3.788 ,3.785 ,3.785 ,3.785 ,3.785 
60,Training,"InChI=1S/C25H19ClN8O2/c26-17-8-4-9-18(14-17)27-25(35)30-24-29-21-19(15-33(31-21)12-11-16-6-2-1-3-7-16)23-28-22(32-34(23)24)20-10-5-13-36-20/h1-10,13-15H,11-12H2,(H2,27,29,30,31,35)",5.100 ,103982213,5.100 ,5.366 ,5.162 ,5.327 ,5.139 ,5.102 ,5.102 ,5.102 ,5.102 
61,Training,"InChI=1S/C14H15N7O/c1-14(2,3)20-7-8-10(18-20)17-13(15)21-12(8)16-11(19-21)9-5-4-6-22-9/h4-7H,1-3H3,(H2,15,17,18)",2.940 ,103992569,2.940 ,2.870 ,2.947 ,2.578 ,2.947 ,2.929 ,2.929 ,2.929 ,2.929 
62,Training,"InChI=1S/C20H26N8O2/c1-12(2)8-9-27-11-13-15(25-27)22-18(23-19(29)24-20(3,4)5)28-17(13)21-16(26-28)14-7-6-10-30-14/h6-7,10-12H,8-9H2,1-5H3,(H2,22,23,24,25,29)",4.410 ,104045440,4.410 ,4.364 ,4.391 ,4.027 ,4.386 ,4.365 ,4.365 ,4.365 ,4.365 
