ID,Dataset,Ligand InChI,LogBIO,PubChem SID,BS+AICc,BS+r2a,FS+AIC,FS+BIC,FS+r2a,FS+RIC1,FS+RIC2,FS+RIC3,FS+RIC4
101,Test,"InChI=1S/C22H28N8O2/c1-14(2)10-11-29-13-16-18(27-29)25-21(26-22(31)23-15-7-4-3-5-8-15)30-20(16)24-19(28-30)17-9-6-12-32-17/h6,9,12-15H,3-5,7-8,10-11H2,1-2H3,(H2,23,25,26,27,31)",4.690 ,104045451,5.210 ,7.157 ,5.110 ,5.090 ,5.032 ,5.302 ,5.302 ,5.302 ,5.302 
102,Test,"InChI=1S/C19H15N9O4/c1-2-26-10-13-15(24-26)22-18(27-17(13)21-16(25-27)14-4-3-9-32-14)23-19(29)20-11-5-7-12(8-6-11)28(30)31/h3-10H,2H2,1H3,(H2,20,22,23,24,29)",6.190 ,104004421,6.648 ,6.375 ,6.515 ,6.683 ,6.489 ,6.597 ,6.597 ,6.597 ,6.597 
103,Test,"InChI=1S/C21H15ClN6O3/c1-30-14-7-5-13(6-8-14)23-21(29)26-20-24-16-9-4-12(22)11-15(16)19-25-18(27-28(19)20)17-3-2-10-31-17/h2-11H,1H3,(H2,23,24,26,29)",6.854 ,103992570,,,5.159 ,6.520 ,5.408 ,6.064 ,6.064 ,6.064 ,6.064 
104,Test,"InChI=1S/C29H21ClN8O2/c30-20-9-4-10-21(16-20)31-29(39)34-28-33-25-23(27-32-26(36-38(27)28)24-12-5-15-40-24)17-37(35-25)14-13-19-8-3-7-18-6-1-2-11-22(18)19/h1-12,15-17H,13-14H2,(H2,31,33,34,35,39)",4.290 ,103992574,5.170 ,,3.317 ,4.859 ,3.479 ,3.680 ,3.680 ,3.680 ,3.680 
105,Test,"InChI=1S/C22H22N8O2/c1-14(2)23-22(31)26-21-25-18-16(13-29(27-18)11-10-15-7-4-3-5-8-15)20-24-19(28-30(20)21)17-9-6-12-32-17/h3-9,12-14H,10-11H2,1-2H3,(H2,23,25,26,27,31)",5.050 ,104045446,4.883 ,4.270 ,5.042 ,5.218 ,5.100 ,5.164 ,5.164 ,5.164 ,5.164 
106,Test,"InChI=1S/C20H17N9O4/c1-2-9-27-11-14-16(25-27)23-19(28-18(14)22-17(26-28)15-4-3-10-33-15)24-20(30)21-12-5-7-13(8-6-12)29(31)32/h3-8,10-11H,2,9H2,1H3,(H2,21,23,24,25,30)",6.090 ,104004398,6.476 ,6.241 ,6.458 ,6.524 ,6.406 ,6.560 ,6.560 ,6.560 ,6.560 
107,Test,"InChI=1S/C19H15N7O2/c1-25-11-13-16(23-25)22-19(20-15(27)10-12-6-3-2-4-7-12)26-18(13)21-17(24-26)14-8-5-9-28-14/h2-9,11H,10H2,1H3,(H,20,22,23,27)",6.090 ,104004403,6.211 ,5.112 ,5.665 ,5.963 ,5.808 ,5.873 ,5.873 ,5.873 ,5.873 
108,Test,"InChI=1S/C25H34N8O2/c1-2-3-4-5-6-10-15-32-17-19-21(30-32)28-24(29-25(34)26-18-12-8-7-9-13-18)33-23(19)27-22(31-33)20-14-11-16-35-20/h11,14,16-18H,2-10,12-13,15H2,1H3,(H2,26,28,29,30,34)",4.790 ,104045455,,,5.998 ,4.823 ,5.971 ,5.684 ,5.684 ,5.684 ,5.684 
109,Test,"InChI=1S/C23H30N8O2/c1-2-3-7-12-24-23(32)27-22-26-19-17(15-30(28-19)14-16-9-5-4-6-10-16)21-25-20(29-31(21)22)18-11-8-13-33-18/h8,11,13,15-16H,2-7,9-10,12,14H2,1H3,(H2,24,26,27,28,32)",5.400 ,104045436,5.553 ,4.536 ,6.183 ,5.125 ,6.117 ,5.377 ,5.377 ,5.377 ,5.377 
110,Test,"InChI=1S/C15H17N7O/c1-9(2)5-6-21-8-10-12(19-21)18-15(16)22-14(10)17-13(20-22)11-4-3-7-23-11/h3-4,7-9H,5-6H2,1-2H3,(H2,16,18,19)",3.150 ,103992564,2.915 ,1.997 ,1.266 ,3.082 ,1.317 ,2.621 ,2.621 ,2.621 ,2.621 
111,Test,"InChI=1S/C22H22N8O2/c1-3-4-11-29-13-16-18(27-29)25-21(26-22(31)23-15-9-7-14(2)8-10-15)30-20(16)24-19(28-30)17-6-5-12-32-17/h5-10,12-13H,3-4,11H2,1-2H3,(H2,23,25,26,27,31)",6.680 ,104004388,6.003 ,6.772 ,6.588 ,6.114 ,6.574 ,6.411 ,6.411 ,6.411 ,6.411 
112,Test,"InChI=1S/C18H12Br3N7O/c19-11-7-13(21)12(20)6-9(11)3-4-27-8-10-15(25-27)24-18(22)28-17(10)23-16(26-28)14-2-1-5-29-14/h1-2,5-8H,3-4H2,(H2,22,24,25)",2.350 ,103992554,3.085 ,,3.454 ,2.544 ,3.147 ,1.919 ,1.919 ,1.919 ,1.919 
113,Test,"InChI=1S/C21H20N8O2/c1-3-10-28-12-15-17(26-28)24-20(25-21(30)22-14-8-6-13(2)7-9-14)29-19(15)23-18(27-29)16-5-4-11-31-16/h4-9,11-12H,3,10H2,1-2H3,(H2,22,24,25,26,30)",6.400 ,104004419,6.178 ,6.999 ,6.802 ,6.364 ,6.815 ,6.606 ,6.606 ,6.606 ,6.606 
114,Test,"InChI=1S/C19H16N8O2/c1-11-5-7-12(8-6-11)20-19(28)23-18-22-15-13(10-26(2)24-15)17-21-16(25-27(17)18)14-4-3-9-29-14/h3-10H,1-2H3,(H2,20,22,23,24,28)",6.510 ,104004422,6.290 ,6.567 ,6.849 ,6.625 ,6.854 ,6.783 ,6.783 ,6.783 ,6.783 
115,Test,"InChI=1S/C19H16N8O2/c1-2-26-11-13-15(24-26)22-18(23-19(28)20-12-7-4-3-5-8-12)27-17(13)21-16(25-27)14-9-6-10-29-14/h3-11H,2H2,1H3,(H2,20,22,23,24,28)",6.740 ,104004423,6.835 ,6.950 ,6.823 ,6.565 ,6.903 ,6.988 ,6.988 ,6.988 ,6.988 
116,Test,"InChI=1S/C19H15ClN8O2/c1-2-27-10-13-15(25-27)23-18(24-19(29)21-12-7-5-11(20)6-8-12)28-17(13)22-16(26-28)14-4-3-9-30-14/h3-10H,2H2,1H3,(H2,21,23,24,25,29)",6.699 ,104004405,6.221 ,6.450 ,6.425 ,6.436 ,6.439 ,6.365 ,6.365 ,6.365 ,6.365 
117,Test,"InChI=1S/C22H19ClN8O2/c1-13(2)8-9-30-12-16-18(28-30)26-21(27-22(32)24-15-6-3-5-14(23)11-15)31-20(16)25-19(29-31)17-7-4-10-33-17/h3-8,10-12H,9H2,1-2H3,(H2,24,26,27,28,32)",4.260 ,103992561,5.005 ,3.918 ,3.890 ,5.138 ,3.940 ,4.370 ,4.370 ,4.370 ,4.370 
118,Test,"InChI=1S/C24H34N8O2/c1-3-5-7-8-9-11-15-31-17-18-20(29-31)27-23(28-24(33)25-14-10-6-4-2)32-22(18)26-21(30-32)19-13-12-16-34-19/h12-13,16-17H,3-11,14-15H2,1-2H3,(H2,25,27,28,29,33)",5.110 ,104045429,4.621 ,,6.325 ,4.412 ,6.443 ,5.236 ,5.236 ,5.236 ,5.236 
119,Test,"InChI=1S/C19H16N8O3/c1-26-10-13-15(24-26)22-18(23-19(28)20-11-5-7-12(29-2)8-6-11)27-17(13)21-16(25-27)14-4-3-9-30-14/h3-10H,1-2H3,(H2,20,22,23,24,28)",6.699 ,103992567,6.333 ,6.005 ,6.050 ,6.435 ,6.097 ,5.765 ,5.765 ,5.765 ,5.765 
120,Test,"InChI=1S/C19H14Cl2N8O2/c1-2-28-9-11-15(26-28)24-18(25-19(30)22-10-5-6-12(20)13(21)8-10)29-17(11)23-16(27-29)14-4-3-7-31-14/h3-9H,2H2,1H3,(H2,22,24,25,26,30)",5.520 ,104004433,5.793 ,5.506 ,5.624 ,6.223 ,5.615 ,5.692 ,5.692 ,5.692 ,5.692 
121,Test,"InChI=1S/C30H24N8O3/c1-40-22-13-11-21(12-14-22)31-30(39)34-29-33-26-24(28-32-27(36-38(28)29)25-10-5-17-41-25)18-37(35-26)16-15-20-8-4-7-19-6-2-3-9-23(19)20/h2-14,17-18H,15-16H2,1H3,(H2,31,33,34,35,39)",4.800 ,103992573,,,3.395 ,5.136 ,3.604 ,4.195 ,4.195 ,4.195 ,4.195 
